VC,Mech,Year,1,2,3,4,5,6,7
LDV,Platooning,2035,Mid,Opt,Zero,Opt,Pess,Zero,Mid
LDV,Platooning,2050,Mid,Opt,Zero,Opt,Pess,Zero,Mid
LDV,De_emphasized_performance,2035,Zero,Opt,Zero,Opt,Zero,Zero,Zero
LDV,De_emphasized_performance,2050,Zero,Opt,Zero,Opt,Zero,Zero,Zero
LDV,Improved_crash_avoidance,2035,Mid,Pess,Zero,Pess,Zero,Zero,Zero
LDV,Improved_crash_avoidance,2050,Mid,Pess,Zero,Pess,Zero,Zero,Zero
LDV,Right_sizing,2035,Zero,Opt,Zero,Opt,Zero,Zero,Zero
LDV,Right_sizing,2050,Zero,Opt,Zero,Opt,Zero,Zero,Zero
LDV,Eco_driving,2035,Mid,Opt,Zero,Opt,Zero,Zero,Pess
LDV,Eco_driving,2050,Mid,Opt,Zero,Opt,Zero,Zero,Pess
LDV,Congestion_mitigation,2035,Mid,Opt,Zero,Opt,Zero,Zero,Zero
LDV,Congestion_mitigation,2050,Mid,Opt,Zero,Opt,Zero,Zero,Zero
LDV,Increased_feature_load,2035,Opt,Opt,Pess,Opt,Opt,Zero,Opt
LDV,Increased_feature_load,2050,Opt,Opt,Pess,Opt,Opt,Zero,Opt
LDV,Automation_accessory_load,2035,Zero,Zero,Zero,Zero,Zero,Zero,Zero
LDV,Automation_accessory_load,2050,Zero,Zero,Zero,Zero,Zero,Zero,Zero
LDV,Higher_highway_speeds,2035,Opt,Zero,Pess,Pess,Mid,Zero,Zero
LDV,Higher_highway_speeds,2050,Opt,Zero,Pess,Pess,Mid,Zero,Zero
HDV,Platooning,2035,Mid,Opt,Zero,Opt,Pess,Zero,Mid
HDV,Platooning,2050,Mid,Opt,Zero,Opt,Pess,Zero,Mid
HDV,De_emphasized_performance,2035,Zero,Zero,Zero,Zero,Zero,Zero,Zero
HDV,De_emphasized_performance,2050,Zero,Zero,Zero,Zero,Zero,Zero,Zero
HDV,Improved_crash_avoidance,2035,Zero,Zero,Zero,Zero,Zero,Zero,Zero
HDV,Improved_crash_avoidance,2050,Zero,Zero,Zero,Zero,Zero,Zero,Zero
HDV,Right_sizing,2035,Zero,Zero,Zero,Zero,Zero,Zero,Zero
HDV,Right_sizing,2050,Zero,Zero,Zero,Zero,Zero,Zero,Zero
HDV,Eco_driving,2035,Mid,Opt,Zero,Opt,Zero,Zero,Mid
HDV,Eco_driving,2050,Mid,Opt,Zero,Opt,Zero,Zero,Mid
HDV,Congestion_mitigation,2035,Mid,Opt,Zero,Opt,Zero,Zero,Zero
HDV,Congestion_mitigation,2050,Mid,Opt,Zero,Opt,Zero,Zero,Zero
HDV,Increased_feature_load,2035,Zero,Zero,Zero,Zero,Zero,Zero,Zero
HDV,Increased_feature_load,2050,Zero,Zero,Zero,Zero,Zero,Zero,Zero
HDV,Automation_accessory_load,2035,Zero,Zero,Zero,Zero,Zero,Zero,Zero
HDV,Automation_accessory_load,2050,Zero,Zero,Zero,Zero,Zero,Zero,Zero
HDV,Higher_highway_speeds,2035,Opt,Zero,Pess,Pess,Mid,Zero,Opt
HDV,Higher_highway_speeds,2050,Opt,Zero,Pess,Pess,Mid,Zero,Opt
# Source:,"Consistent with CAV_Scenario_Master.csv, Variant of [WadudMacKenzieLeiby V20161024.xlsx]Scenario Master'",,,,,,,,
