DemScen,VehType,VC,CostCat,VTCost_shr,BaseVTCost_cpm,VTCost_cpm
DS1,HDVClass8,HDV,AccAndIns,0.01570926143024619,170.6,2.68
DS1,HDVClass8,HDV,Fuel,0.24848475967174677,170.6,42.3915
DS1,HDVClass8,HDV,Maintenance,0.11371629542790151,170.6,19.4
DS1,HDVClass8,HDV,Parking,0,170.6,0
DS1,HDVClass8,HDV,Registration,0,170.6,0
DS1,HDVClass8,HDV,Time,0.35814771395076206,170.6,61.10000000000001
DS1,HDVClass8,HDV,TollsFees,0.032239155920281364,170.6,5.5
DS1,HDVClass8,HDV,Total,0.8790826494724502,170.6,149.9715
DS1,HDVClass8,HDV,VehCapCost,0.11078546307151231,170.6,18.9
DS1,LDVAvgLtTruck,LDV,AccAndIns,0.024746240698522822,137.24766027200002,3.3963636364000007
DS1,LDVAvgLtTruck,LDV,Fuel,0.040247021021351706,137.24766027200002,5.523809468098523
DS1,LDVAvgLtTruck,LDV,Maintenance,0.04480950704596212,137.24766027200002,6.15
DS1,LDVAvgLtTruck,LDV,Parking,0.01655931524439736,137.24766027200002,2.272727273
DS1,LDVAvgLtTruck,LDV,Registration,0.05259238520857019,137.24766027200002,7.218181818
DS1,LDVAvgLtTruck,LDV,Time,0.3642680166708787,137.24766027200002,49.994933
DS1,LDVAvgLtTruck,LDV,TollsFees,0,137.24766027200002,0
DS1,LDVAvgLtTruck,LDV,Total,0.8601015423618216,137.24766027200002,118.04692428549852
DS1,LDVAvgLtTruck,LDV,VehCapCost,0.3168790564721387,137.24766027200002,43.49090909
DS1,LDVAvgSedan,LDV,AccAndIns,0.029212397089162203,115.66674735000001,3.3789029536000004
DS1,LDVAvgSedan,LDV,Fuel,0.0354948348139487,115.66674735000001,4.105572090654989
DS1,LDVAvgSedan,LDV,Maintenance,0.04729103329454003,115.66674735000001,5.47
DS1,LDVAvgSedan,LDV,Parking,0.01823950866895368,115.66674735000001,2.109704641
DS1,LDVAvgSedan,LDV,Registration,0.044504401160546686,115.66674735000001,5.147679325
DS1,LDVAvgSedan,LDV,Time,0.4322325486400911,115.66674735000001,49.994933
DS1,LDVAvgSedan,LDV,TollsFees,0,115.66674735000001,0
DS1,LDVAvgSedan,LDV,Total,0.8655379986377303,115.66674735000001,100.113965010255
DS1,LDVAvgSedan,LDV,VehCapCost,0.25856327497048787,115.66674735000001,29.907173
DS2,HDVClass8,HDV,AccAndIns,0.01570926143024619,170.6,2.68
DS2,HDVClass8,HDV,Fuel,0.24848475967174677,170.6,42.3915
DS2,HDVClass8,HDV,Maintenance,0.11371629542790151,170.6,19.4
DS2,HDVClass8,HDV,Parking,0,170.6,0
DS2,HDVClass8,HDV,Registration,0,170.6,0
DS2,HDVClass8,HDV,Time,0.3402403282532239,170.6,58.045
DS2,HDVClass8,HDV,TollsFees,0.032239155920281364,170.6,5.5
DS2,HDVClass8,HDV,Total,0.861175263774912,170.6,146.91649999999998
DS2,HDVClass8,HDV,VehCapCost,0.11078546307151231,170.6,18.9
DS2,LDVAvgLtTruck,LDV,AccAndIns,0.024746240698522822,137.24766027200002,3.3963636364000007
DS2,LDVAvgLtTruck,LDV,Fuel,0.040247021021351706,137.24766027200002,5.523809468098523
DS2,LDVAvgLtTruck,LDV,Maintenance,0.04480950704596212,137.24766027200002,6.15
DS2,LDVAvgLtTruck,LDV,Parking,0.01655931524439736,137.24766027200002,2.272727273
